Completed 155 games, 210 rewards, 45522 frames, score 0, max score 4
Completed 156 games, 211 rewards, 45730 frames, score 0, max score 4
Completed 157 games, 212 rewards, 45938 frames, score 0, max score 4
Completed 158 games, 213 rewards, 46146 frames, score 0, max score 4
Completed 159 games, 214 rewards, 46354 frames, score 0, max score 4
Completed 160 games, 215 rewards, 46608 frames, score 0, max score 4
Completed 161 games, 217 rewards, 47527 frames, score 1, max score 4
Completed 162 games, 218 rewards, 47708 frames, score 0, max score 4
Completed 163 games, 219 rewards, 47916 frames, score 0, max score 4
Completed 164 games, 221 rewards, 48283 frames, score 1, max score 4
Completed 165 games, 222 rewards, 48464 frames, score 0, max score 4
Completed 166 games, 223 rewards, 48672 frames, score 0, max score 4
Completed 167 games, 224 rewards, 48853 frames, score 0, max score 4
Completed 168 games, 225 rewards, 49034 frames, score 0, max score 4
Completed 169 games, 226 rewards, 49242 frames, score 0, max score 4
Completed 170 games, 229 rewards, 49862 frames, score 2, max score 4
Completed 171 games, 230 rewards, 50070 frames, score 0, max score 4
Completed 172 games, 231 rewards, 50324 frames, score 0, max score 4
Completed 173 games, 232 rewards, 50578 frames, score 0, max score 4
Completed 174 games, 234 rewards, 51075 frames, score 1, max score 4
Completed 175 games, 235 rewards, 51329 frames, score 0, max score 4
Completed 176 games, 236 rewards, 51583 frames, score 0, max score 4
Completed 177 games, 237 rewards, 51791 frames, score 0, max score 4
Completed 178 games, 238 rewards, 52045 frames, score 0, max score 4
Completed 179 games, 239 rewards, 52226 frames, score 0, max score 4
Completed 180 games, 240 rewards, 52407 frames, score 0, max score 4
Completed 181 games, 241 rewards, 52588 frames, score 0, max score 4
Completed 182 games, 242 rewards, 52842 frames, score 0, max score 4
Completed 183 games, 243 rewards, 53096 frames, score 0, max score 4
Completed 184 games, 244 rewards, 53304 frames, score 0, max score 4
Completed 185 games, 245 rewards, 53558 frames, score 0, max score 4
Completed 186 games, 247 rewards, 54292 frames, score 1, max score 4
Completed 187 games, 248 rewards, 54500 frames, score 0, max score 4
Completed 188 games, 249 rewards, 54681 frames, score 0, max score 4
Completed 189 games, 250 rewards, 54862 frames, score 0, max score 4
Completed 190 games, 251 rewards, 55043 frames, score 0, max score 4
Completed 191 games, 254 rewards, 55891 frames, score 2, max score 4
Completed 192 games, 255 rewards, 56072 frames, score 0, max score 4
Completed 193 games, 256 rewards, 56326 frames, score 0, max score 4
Completed 194 games, 257 rewards, 56534 frames, score 0, max score 4
Completed 195 games, 259 rewards, 57110 frames, score 1, max score 4
Completed 196 games, 260 rewards, 57291 frames, score 0, max score 4
Completed 197 games, 261 rewards, 57545 frames, score 0, max score 4
Completed 198 games, 262 rewards, 57726 frames, score 0, max score 4
Completed 199 games, 263 rewards, 57934 frames, score 0, max score 4
Completed 200 games, 264 rewards, 58142 frames, score 0, max score 4
Completed 201 games, 265 rewards, 58323 frames, score 0, max score 4
Completed 202 games, 266 rewards, 58504 frames, score 0, max score 4
Completed 203 games, 267 rewards, 58758 frames, score 0, max score 4
Completed 204 games, 268 rewards, 58939 frames, score 0, max score 4
Completed 205 games, 269 rewards, 59147 frames, score 0, max score 4
Completed 206 games, 270 rewards, 59328 frames, score 0, max score 4
Completed 207 games, 271 rewards, 59509 frames, score 0, max score 4
Completed 208 games, 272 rewards, 59763 frames, score 0, max score 4
Completed 209 games, 273 rewards, 60017 frames, score 0, max score 4
Completed 210 games, 274 rewards, 60225 frames, score 0, max score 4
Completed 211 games, 275 rewards, 60406 frames, score 0, max score 4
Completed 212 games, 277 rewards, 60957 frames, score 1, max score 4
Completed 213 games, 278 rewards, 61165 frames, score 0, max score 4
Completed 214 games, 279 rewards, 61346 frames, score 0, max score 4
Completed 215 games, 280 rewards, 61554 frames, score 0, max score 4
Completed 216 games, 281 rewards, 61808 frames, score 0, max score 4
Completed 217 games, 282 rewards, 62062 frames, score 0, max score 4
Completed 218 games, 283 rewards, 62316 frames, score 0, max score 4
Completed 219 games, 286 rewards, 62974 frames, score 2, max score 4
Completed 220 games, 287 rewards, 63228 frames, score 0, max score 4
Completed 221 games, 288 rewards, 63436 frames, score 0, max score 4
